,claim,year_of_publish,month_of_publish,day_of_publish,truth_value,Unnamed: 0
1812,"António Guterres said problems such as poverty, indebtedness, online hate and biodiversity loss are linked to the international system’s failure to function. ",2022,September,21,meter-true,1812.0
1813,Attorney General Merrick Garland and his Ukrainian counterpart have signed an agreement to formalize cooperation in joint efforts to prosecute alleged war crimes.,2022,September,21,meter-true,1813.0
1814,"“The United States will never recognize Russia’s claims to purportedly annexed territory,” White House national security adviser Jake Sullivan told reporters.",2022,September,20,meter-true,1814.0
1815,"The St. Javelin meme is inspired by the Virgin Mary, who despite being known for peace, can be found in centuries of war art.",2022,September,18,meter-true,1815.0
1816,"Dancer and teacher Oleksandr Shapoval, a father of two who volunteered for the army, is remembered as “a pure and bright soul.”",2022,September,16,meter-true,1816.0
1817,Ukrainian President Volodymyr Zelensky said a “mass burial site” was discovered after Russia's retreat from Izyum. ,2022,September,16,meter-true,1817.0
1818,"Russia's annual military exhibition had new significance this year, with displays including “trophies” it claims to have taken from Ukraine. ",2022,September,16,meter-true,1818.0
1819,"Ursula von der Leyen is in Kyiv to discuss E.U. trade, while Chinese President Xi Jinping met with Russian President Vladimir Putin in Uzbekistan.",2022,September,15,meter-true,1819.0
1820,"Ukrainian President Volodymyr Zelensky visited the recaptured town of Izyum in the Kharkiv region, and European Commission President Ursula von der Leyen vowed to tackle the energy crisis.",2022,September,14,meter-true,1820.0
1821,"Photos of Ukrainian flags raised in Bohorodychne and Sviatohirsk were widely shared on social media, as Russia announced a decision to “regroup.”",2022,September,13,meter-true,1821.0
1822,"In less than a week, Ukraine’s military made startling gains against Russian forces in the Kharkiv region, potentially changing the tide of a war that has raged for more than half a year and changed the geopolitical fabric of Europe.",2022,September,13,meter-true,1822.0
1823,"Secretary of State Antony Blinken visits Kyiv. Hundreds of thousands of Ukrainians have been interrogated, detained or forcibly deported to Russia, U.S. officials say. ",2022,September,8,meter-true,1823.0
1824,The International Atomic Energy Agency found extensive damage at the plant and warned of a “catastrophic” threat from shelling.,2022,September,7,meter-true,1824.0
1825,The report by the International Atomic Energy Agency highlighted the prospect that radioactive material could be released from the Zaporizhizhia nuclear power plant.,2022,September,6,meter-true,1825.0
1826,Some experts from the International Atomic Energy Agency left the Zaporizhzhia nuclear power plant. ,2022,September,5,meter-true,1826.0
1827,Ukrainian President Volodymyr Zelensky warned that “Russia is preparing for a decisive energy attack on all Europeans” this winter. ,2022,September,4,meter-true,1827.0
1828,European leaders accused Russia of weaponizing energy after Gazprom said it won't reopen the Nord Stream 1 gas pipeline as planned.,2022,September,3,meter-true,1828.0
1829,"Five inspectors will remain at the Zaporizhzhia plant through Saturday, after IAEA chief Rafael Mariano Grossi led a tour to evaluate the safety of the Russian-held facility.",2022,September,2,meter-true,1829.0
1830,"The start of the academic year in Ukraine, normally heavy on ceremony, is anything but normal as Russia's invasion and bombardments continue. ",2022,September,1,meter-true,1830.0
1831,The expert mission led by International Atomic Energy Agency chief Rafael Mariano Grossi reached the Zaporizhzhia nuclear plant after delays.,2022,September,1,meter-true,1831.0
1832,"European Union countries reached a political agreement to suspend a visa facilitation agreement with Russia, making it more difficult and expensive for Russian tourists to get visas.",2022,August,31,meter-true,1832.0
1833,"More strikes were reported overnight near the Zaporizhzhia nuclear plant, where IAEA inspectors are due to arrive later this week to assess the damage.",2022,August,30,meter-true,1833.0
1834,"The delivery of the Mohajer-6 and Shahed-series drones to Moscow is a first installment of a planned transfer of hundreds of Iranian UAVs, U.S. officials said. ",2022,August,30,meter-true,1834.0
1835,"Ukrainian officials say shelling hit Enerhodar, where the facility is located, days ahead of an expected IAEA visit. ",2022,August,29,meter-true,1835.0
1836,"Russia’s military expansion will have little impact on war, Britain’s Defense Ministry said.",2022,August,28,meter-true,1836.0
1837,"Shelling at the plant may result in hydrogen leakage, sputtering of radioactive substances and fires, Ukraine’s nuclear power agency warned in a statement Saturday. ",2022,August,27,meter-true,1837.0
1838,"Electricity has been restored to the Zaporizhzhia nuclear power plant, narrowly averting a “radiation accident,” says Ukrainian President Volodymyr Zelensky.",2022,August,26,meter-true,1838.0
1839,"A decree signed by the Russian president calls for the armed forces to increase its ranks by 137,000, effective Jan. 1. ",2022,August,25,meter-true,1839.0
1840,"Russia has been accused of using the Zaporizhzhia plant, which is still functioning and producing power, as a staging ground for war.",2022,August,25,meter-true,1840.0
1841,"Aug. 24 marked six months since Russia invaded its next-door neighbor, throwing the entire world into turmoil.",2022,August,25,meter-true,1841.0
1842,"Ukrainians had been bracing for stepped up strikes this week, and officials say the death toll from the train station strike could increase.",2022,August,24,meter-true,1842.0
1843,On board a train heading to the Polish border are Ukrainians who have been wrestling with the agonizing decision of whether to return home six months into the war.,2022,August,23,meter-true,1843.0
1844,"The Pentagon prepares to send more weapons to Ukraine, and hundreds of Russians attend a memorial for propagandist Daria Dugina, who was killed in a car bombing.",2022,August,23,meter-true,1844.0
1845,"Russia claimed that “Ukrainian special services” were behind the car bombing that killed the daughter of Alexander Dugin, an ally of Russian President Vladimir Putin.",2022,August,22,meter-true,1845.0
1846,Russian President Vladimir Putin’s campaign to topple Ukraine's government hasn’t gone as planners in the Kremlin thought it would. ,2022,August,22,meter-true,1846.0
1847,"Daria Dugina, the daughter of key Putin adviser Alexander Dugin, was killed in an explosion in the Moscow region. ",2022,August,21,meter-true,1847.0
1848,"Russia is beefing up security in Crimea amid reports of drone attacks, while both Moscow and Kyiv have voiced support for IAEA inspectors to visit Zaporizhzhia.",2022,August,20,meter-true,1848.0
1849,"A trove of sensitive materials obtained by Ukrainian and other security services and reviewed by The Washington Post offers rare insight into the activities of the FSB, a sprawling security service that bears enormous responsibility for the failed Russian war plan and the hubris that propelled it.",2022,August,19,meter-true,1849.0
1850,"Both Russia and Ukraine are warning of a possible attack on the Zaporizhzhia nuclear power plant, currently under Russian control, in southeastern Ukraine. ",2022,August,19,meter-true,1850.0
1851,U.N. Secretary General António Guterres met with the leaders of Ukraine and Turkey in Lviv. Blasts in Crimea have drawn attention to Kyiv's special forces. ,2022,August,18,meter-true,1851.0
1852,Satellite images show the first grain ship from Ukraine in Syria. Ukrainian forces strike Russia in Crimea for the second time in a week.,2022,August,17,meter-true,1852.0
1853,An ammunition depot was on fire near Dzhankoi. Three foreign nationals could face the death penalty in eastern Ukraine. ,2022,August,16,meter-true,1853.0
1854,"The latest round of shelling near the Zaporizhzhia nuclear plant killed one employee and injured two others, Ukraine’s nuclear power regulator said.",2022,August,15,meter-true,1854.0
1855,"Ukrainian President Volodymyr Zelensky accused Russian forces of using the nuclear plant as a shield in a “blackmail operation.""",2022,August,14,meter-true,1855.0
1856,"Some parts of the country are suffering the daily brutality of war, while in other places, life feels relatively peaceful.",2022,August,14,meter-true,1856.0
1857,Ukrainian President Volodymyr Zelensky wants Europe to halt visas for Russians. Fighting near the Zaporizhzhia nuclear power plant raises alarm.,2022,August,13,meter-true,1857.0
1858,The U.N. chief called for military forces to leave the Zaporizhzhia nuclear plant site. The Brave Commander ship is carrying Ukrainian grain to the Horn of Africa.,2022,August,12,meter-true,1858.0
1859,Satellite images appear to show damaged planes at the Saki Air Base in Crimea. The U.N. Security Council could meet over the Zaporizhzhia nuclear plant.,2022,August,11,meter-true,1859.0
1860,"A Ukrainian attack in Crimea would be a dramatic escalation in the war, demonstrating an ability by Ukrainian forces to strike at Russia far from the front lines. ",2022,August,10,meter-true,1860.0
1861,"Ukrainian President Volodymyr Zelensky accused Russia of ""nuclear blackmail"" following attacks on Europe's largest nuclear power plant.",2022,August,9,meter-true,1861.0
1862,Ukrainian President Volodymyr Zelensky slammed Russia's reported plans to hold referendums and warned that strikes on the Zaporizhzhia nuclear plant pose enormous risks.,2022,August,8,meter-true,1862.0
1863,Ukrainian President Volodymyr Zelensky demanded a forceful reaction from international organizations after the attack at Europe’s largest nuclear power plant. ,2022,August,7,meter-true,1863.0
1864,Few are brave to ask about the true toll as the number of war dead is a state secret.,2022,August,7,meter-true,1864.0
1865,"Russia and Ukraine are accusing one another of shelling the Zaporizhzhia nuclear power plant, as fighting continues in the south on Saturday. ",2022,August,6,meter-true,1865.0
1866,Opposition to the war among Russians received unexpected official confirmation thanks to a leaked poll.,2022,August,6,meter-true,1866.0
1867,Three ships are exporting grain from Ukraine’s Black Sea ports. President Biden described Brittney Griner’s sentencing as “unacceptable.”,2022,August,5,meter-true,1867.0
1868,"The U.S.-made antitank missiles have shorter range than most artillery, but Ukrainian soldiers are using them effectively in close combat along the front lines.",2022,August,5,meter-true,1868.0
1869,No swap of sovereignty for peace can do more than slow Russia's aims in Ukraine.,2022,August,5,meter-true,1869.0
1870,The U.N. will investigate a prison blast that killed Ukrainian prisoners of war. Ukrainian President Volodymyr Zelensky wants to “talk directly” with Chinese leader Xi Jinping.,2022,August,4,meter-true,1870.0
1871,"The first grain ship to leave Odessa is headed to Lebanon with more than 26,000 metric tons of corn after a three-hour inspection Wednesday in Turkish waters.",2022,August,3,meter-true,1871.0
1872,Aid workers released from Olenivka in mid-July say prisoners there had not been held in the building where more than 125 soldiers were killed or injured last Friday.,2022,August,3,meter-true,1872.0
1873,"Authorities are bracing for more devastation, and this week they began coordinating mandatory civilian evacuations from the eastern region of Donetsk.",2022,August,2,meter-true,1873.0
1874,The Red Cross says access to Olenivka prison where Ukrainian POWs were killed has not been granted.  ,2022,August,1,meter-true,1874.0
1875,Russia says it has invited the U.N. and Red Cross to investigate the deaths of Ukrainian prisoners of war at a detention center in Olenivka.,2022,July,31,meter-true,1875.0
1876,Ukrainian President Volodymyr Zelensky has accused Russia of the “mass murder” of Ukrainian prisoners of war in an occupied area of the eastern Donetsk region.,2022,July,30,meter-true,1876.0
1877,Staff and patients are trying to rebuild after Russian forces besieged the facility this year.,2022,July,30,meter-true,1877.0
1878,"The first grain shipments from Ukraine’s blockaded ports could begin as early as Friday after a landmark deal between Kyiv and Moscow, the U.N. aid chief said.",2022,July,29,meter-true,1878.0
1879,"Strikes were reported outside Kyiv and in several other regions. In the south, Ukraine's efforts to retake Kherson gathered steam.",2022,July,28,meter-true,1879.0
1880,"While Western countries have started sending better weapons to Ukraine, they can be slow to arrive, leaving some units to fight with Soviet-era leftovers.",2022,July,27,meter-true,1880.0
1881,WNBA player Brittney Griner will face cross-examination. Russia plans to quit the International Space Station. ,2022,July,27,meter-true,1881.0
1882,"Russia targeted the region of Odessa with missiles early Tuesday, Ukrainian authorities said, with attacks also reported on Kharkiv in the north and Mykolaiv in the south.",2022,July,26,meter-true,1882.0
1883,The European Broadcasting Union announced that the BBC would host the 2023 Eurovision contest in Britain since it could not be held in Ukraine.,2022,July,25,meter-true,1883.0
1884,Russian Foreign Minister Sergei Lavrov is in Congo. Ukraine eyes Kherson in a southern counteroffensive. ,2022,July,25,meter-true,1884.0
1885,Ukrainian officials want more advanced HIMARs rocket systems. ,2022,July,24,meter-true,1885.0
1886,"Russian missiles have hit the port in Odesa, Ukraine says, just a day after the two countries signed a deal to allow grain exports that had raised hopes of easing the global food shortage.",2022,July,23,meter-true,1886.0
1887,The United Nations says a deal Turkey has brokered between Russia and Ukraine will be signed later Friday to allow exports of grain from blockaded Ukrainian ports.,2022,July,22,meter-true,1887.0
1888,CIA chief William Burns downplayed rumors about Russian President Vladimir Putin’s health. Moscow’s ambitions may go beyond the eastern Donbas region.,2022,July,21,meter-true,1888.0
1889,"With Ukrainian first lady Olena Zelenska in Washington, the White House warned that Moscow is seeking to annex parts of Ukraine’s east and south.",2022,July,20,meter-true,1889.0
1890,Putin’s trip comes days after Biden visited Israel and Saudi Arabia — a hint at Moscow’s plans to forge closer ties with Tehran in the face of Western sanctions.,2022,July,19,meter-true,1890.0
1891,"Ukraine's first lady, Olena Zelenska, met Jill Biden at the White House as Russian President Vladimir Putin had talks with top Iranian leaders and Turkish President Recep Tayyip Erdogan in Tehran.",2022,July,19,meter-true,1891.0
1892,Oksana Plyusnina said Ilya Kaminsky was ignored when he asked to take family leave.,2022,July,19,meter-true,1892.0
1893,"The European Union will discuss tightening sanctions against Russia, including a potential new import ban on Russian gold. ",2022,July,18,meter-true,1893.0
1894,"A Ukrainian cargo plane carrying mines crashed in Kavala, Greece, killing all eight Ukrainian crew members onboard.",2022,July,17,meter-true,1894.0
1895,"Jake Sullivan said Russian officials had recently visited Iran to examine “weapons-capable drones.""",2022,July,16,meter-true,1895.0
1896,Russian troops in the eastern Donetsk region launched small-scale offensives as missile strikes were reported across Ukraine.,2022,July,15,meter-true,1896.0
1897,American WNBA star Brittney Griner appeared in a Moscow court Thursday in the third hearing of her trial on drug charges.,2022,July,14,meter-true,1897.0
1898,Ukraine celebrated a strike on a Russian ammunition depot in its occupied south. ,2022,July,13,meter-true,1898.0
1899,"Experts say Tehran’s move to send drones, which a senior White House official disclosed Monday, suggests that Moscow is running out of precision weapons.",2022,July,12,meter-true,1899.0
1900,"Ukraine is readying a force of 1 million with Western weapons to try to retake southern territory from Russia, Ukraine's defense minister told a British newspaper.",2022,July,11,meter-true,1900.0
1901,"Rescuers pulled six survivors from the debris pile, one after nearly a full day of digging. Officials expected the Chasiv Yar death toll to rise.",2022,July,10,meter-true,1901.0
1902,The prisons of Belarus are full of people detained on sham accusations,2022,July,9,meter-true,1902.0
1903,"Secretary of State Antony Blinken on Saturday criticized China’s “alignment” with Russia following more than five hours of talks with his Chinese counterpart, Wang Yi. ",2022,July,9,meter-true,1903.0
1904,"Meanwhile, WNBA star Brittney Griner pleaded guilty to carrying cannabis oil on the second day of a trial in Moscow that could see her sentenced to 10 years in prison, according to media reports from the court.",2022,July,7,meter-true,1904.0
1905,Plight could worsen if global economy slides into feared recession.,2022,July,7,meter-true,1905.0
1906,"Having also reported on the war in Ukraine, I am struck by the contrast in how the world has reacted to these two immense tragedies.",2022,July,6,meter-true,1906.0
1907,"Donetsk’s governor urged the eastern region’s 350,000 residents to evacuate as Russia intensifies its bombardment and Slovyansk becomes a key battleground. ",2022,July,6,meter-true,1907.0
1908,"After the signing of the protocols, NATO members must ratify the accession of Sweden and Finland to complete their formal joining of the alliance.",2022,July,5,meter-true,1908.0
1909,Russia’s invasion ofUkraine has breathed new life into the international justice system and revived debate about the crime of war itself.,2022,July,5,meter-true,1909.0
1910,The loss of Lysychansk means Russia has seized essentially all of Luhansk province and can move its sights toward neighboring Donetsk.,2022,July,4,meter-true,1910.0
1911,"Moscow's claim on Ukraine's last major stronghold in Luhansk signaled a turning point in its assault, but Kyiv said the fight for the east “is not over.”",2022,July,3,meter-true,1911.0
1912,"For volunteers from Taiwan, the war in Ukraine is a chance to bring battlefield experience back home — where debate is raging over military readiness.",2022,July,3,meter-true,1912.0
1913,"Russian forces have used tactics in Lysychansk that were even more brutal than in nearby Severodonetsk, the Luhansk regional governor said.",2022,July,3,meter-true,1913.0
1914,"Ukrainian President Volodymyr Zelensky decried “purposeful Russian terror"" after missile strikes killed at least 21 people near the Black Sea port of Odessa.",2022,July,2,meter-true,1914.0
1915,"American WNBA star Brittney Griner is standing trial in Moscow, but experts on Russia’s legal system expect the proceedings will be a show trial.",2022,July,1,meter-true,1915.0
1916,"Moscow framed the withdrawal from the Black Sea island as an effort to create a humanitarian corridor, while Kyiv said it came after intense artillery strikes by Ukraine’s military",2022,June,30,meter-true,1916.0
1917,"Russia says its forces have withdrawn from Snake Island, a highly contested island in the Black Sea that Russia occupied soon after its February invasion.",2022,June,30,meter-true,1917.0
1918,Relations between the giant neighbors haven't always been easy. But locals in northeast China have no doubt over whose team they're on when it comes to Ukraine.,2022,June,29,meter-true,1918.0
1919,President Biden will meet with Turkish President Erdogan after Turkey agreed to stop blocking the NATO bids of Sweden and Finland.,2022,June,29,meter-true,1919.0
1920,"The U.N. Security Council will discuss the deadly attack on a mall in Kremenchuk, Ukraine, during a meeting Tuesday.

",2022,June,28,meter-true,1920.0
1921,Western sanctions punishing Moscow for invading Ukraine have restricted its ability to pay overseas creditors.,2022,June,27,meter-true,1921.0
1922,Ukrainian President Volodymyr Zelensky requested modern antiaircraft systems and more powerful arms to launch counterattacks. ,2022,June,27,meter-true,1922.0
1923,"A Russian missile hit a Kyiv apartment block, as Moscow's forces closed in on the eastern city of Lysychansk.",2022,June,26,meter-true,1923.0
1924,"Ukraine’s wins off the battlefield stood in sobering contrast to developments in the country, where Russian troops have made further advances. ",2022,June,24,meter-true,1924.0
1925,It is killing far more soldiers per day than the typical war — and all signs point to protracted conflict.,2022,June,23,meter-true,1925.0
1926,The historic move marks the start of a process to join the bloc that could take decades - but gives Ukraine a much-needed morale boost.,2022,June,23,meter-true,1926.0
1927,We can't afford to let Vladimir Putin win the energy war,2022,June,22,meter-true,1927.0
1928,"Amid the invasion of Ukraine, the international view of Russia has taken a hit, will the image of the United States and NATO has not, according to polling by Pew.",2022,June,22,meter-true,1928.0
1929,"Ukraine faces an increasingly grim fight in the Luhansk region, where Ukrainian officials warn that Russia is staging heavy military equipment.",2022,June,21,meter-true,1929.0
1930,"Moscow made its first comment on the captured U.S. citizens, the military veterans Alexander J. Drueke and Andy Tai Huynh. ",2022,June,20,meter-true,1930.0
1931,"The war with Russia has killed 100 to 200 soldiers, most of them men, every day, Ukrainian officials say.",2022,June,19,meter-true,1931.0
1932,"Russia has massed reserves in the Luhansk region in preparation for a large attack, according to its governor, Serhiy Haidai.",2022,June,19,meter-true,1932.0
1933,U.S. officials say the danger of Russia swallowing Ukraine and becoming more emboldened is worth risking a long war and potential global economic turmoil.,2022,June,18,meter-true,1933.0
1934,Roman Ratushny had a big future ahead of him.,2022,June,17,meter-true,1934.0
1935,"All 27 member states must agree. Even then, full membership could be many years away.",2022,June,17,meter-true,1935.0
1936,"Grady Kurpasi went missing the same day Willy Joseph Cancel was killed, according to a fighter who says he was with them.",2022,June,17,meter-true,1936.0
1937,"“Ukrainians are ready to die for the European perspective,” European Commission president Ursula von der Leyen said. “We want them to live with us the European dream.”",2022,June,17,meter-true,1937.0
1938,Both Ukraine and its Western friends need to formulate war goals.,2022,June,17,meter-true,1938.0
1939,Their visit comes as Ukraine is in negotiations to begin the process of joining the European Union and as Russia nears total control of a key eastern region. ,2022,June,16,meter-true,1939.0
1940,"French President Emmanuel Macron said the leaders of France, Italy and Germany, brought a “message of unity.”

",2022,June,16,meter-true,1940.0
1941,Russia and Ukraine signed a deal Friday to restart Ukrainian grain exports. But some countries are already feeling the effects of Russia's war in Ukraine on food security.,2022,June,15,meter-true,1941.0
1942,Defense Secretary Lloyd Austin is hosting a meeting Wednesday with officials from nations that support Ukraine to discuss arms assistance.,2022,June,15,meter-true,1942.0
1943,"High fuel prices and rising global demand have kept money flowing into Moscow’s coffers, according to the Center for Research on Energy and Clean Air.
",2022,June,14,meter-true,1943.0
1944,Ukrainian President Volodymyr Zelensky called the battle in the east among the most brutal in European history. ,2022,June,14,meter-true,1944.0
1945,"NATO Secretary General Jens Stoltenberg will visit Sweden. Russia could capture Severodonetsk in days and the entire Luhansk region soon after, a U.S. official says.",2022,June,13,meter-true,1945.0
1946,"Facing shortages on the battlefield, Ukrainian soldiers get supplies they need to survive the war from 3D printers across the world.",2022,June,12,meter-true,1946.0
1947,Volodymyr Zelensky said it was “too late” to persuade Moscow to end its invasion. China said it never gave Russia weapons in its war on Ukraine. ,2022,June,12,meter-true,1947.0
1948,"Russia is likely to seize control of the entire Luhansk region of Ukraine within a few weeks, a senior U.S. defense official said, as Ukraine sustains heavy casualties and its supplies of ammunition dwindle.",2022,June,12,meter-true,1948.0
1949,"President Biden said Ukrainian President Volodymyr Zelensky “didn’t want to hear” U.S. warnings of a potential Russian attack before the invasion began, according to the Associated Press. Ukrainian officials have objected to Biden’s claim.",2022,June,11,meter-true,1949.0
1950,Mariupol Mayor Vadym Boychenko said on national television that there is evidence of a potential cholera outbreak that could kill thousands as a result of the port city’s water supply being poisoned by blood from dead bodies that have yet to be collected.,2022,June,10,meter-true,1950.0
1951,Putin’s Russia is the world’s great spoiler. ,2022,June,10,meter-true,1951.0
1952,The governor of the Luhansk region said that Russia was not in control of Severodonetsk and that “nobody is surrendering” there.,2022,June,9,meter-true,1952.0
1953,"The former German chancellor's past efforts to broker peace, as well her opposition to Ukraine joining NATO, have come under scrutiny since the war.",2022,June,8,meter-true,1953.0
1954,"The Kremlin claims control over most of the Luhansk region, with Ukraine still defending an industrial zone in Severodonetsk. ",2022,June,8,meter-true,1954.0
1955,There are hundreds of prisoners of conscience in Putin’s Russia. They need the world's attention.,2022,June,7,meter-true,1955.0
1956,"The Kremlin alleged Ukraine might fire the multiple-launch rocket systems at targets inside Russia, though Kyiv has agreed to use the weapons only within its territory.
",2022,June,7,meter-true,1956.0
1957,Zelensky said Ukraine could reclaim Severodonetsk but that conditions have worsened for fighters defending the key city.,2022,June,7,meter-true,1957.0
1958,"Ukraine had regained ground in the key eastern city of Severodonetsk, according to the regional governor, but he said Monday the situation there has ""worsened for us.""",2022,June,6,meter-true,1958.0
1959,Kyiv was rocked by explosions; Ukraine regained ground in Severodonetsk and rebuked French President Emmanuel Macron.,2022,June,5,meter-true,1959.0
1960,Ukraine also rejected a British intelligence forecast that Russia could control the Luhansk region in two weeks.,2022,June,4,meter-true,1960.0
1961,"Ukraine’s Zelensky called areas under Russian control a ""zone of total catastrophe"" and said the military situation in Severodonetsk was dire.",2022,June,3,meter-true,1961.0
1962,"Ukraine is withstanding Russian attacks in the east, but it is a grinding fight, the Pentagon said.",2022,June,2,meter-true,1962.0
1963,"The advanced rocket systems will mean that Ukraine “can fight on the battlefield and be in the strongest possible position at the negotiating table,” Biden said.",2022,June,1,meter-true,1963.0
1964,"Ukrainians will keep fighting, but only one person has the power to make the war go away.",2022,June,1,meter-true,1964.0
1965,"Ukrainian President Volodymyr Zelensky said Russia's combat power is at ""maximum"" strength in the Donbas region, which includes Luhansk.",2022,May,31,meter-true,1965.0
1966,Ukrainian President Volodymyr Zelensky said that 90 percent of Severodonetsk’s buildings and all of its “critical infrastructure” had been destroyed.,2022,May,30,meter-true,1966.0
1967,Gloominiess descends on Ukraine as war tide turns.,2022,May,30,meter-true,1967.0
1968,"Russian forces advanced Sunday in the industrial hub of Severdonetsk, Ukraine’s military said. Analysts say Moscow controls most of the region.",2022,May,29,meter-true,1968.0
1969,A Russian court recently approved the dismissal of more than 100 National Guard members for refusing to participate in the invasion. ,2022,May,28,meter-true,1969.0
1970,It could be years before any high-level Russian officials are held to account — if they ever are.,2022,May,28,meter-true,1970.0
1971,"Russia’s Defense Ministry said its forces now control Lyman, a town providing access to bridges over the Siversky Donets river.",2022,May,28,meter-true,1971.0
1972,Russian-backed forces seized the railway hub of Lyman Friday and advanced on the city of Severodonetsk.,2022,May,27,meter-true,1972.0
1973,Russia’s aggression has sparked something like a revolution in Europe.,2022,May,27,meter-true,1973.0
1974,"Russia could soon make a direct assault on Severodonetsk, one of the largest eastern cities still under Ukrainian control.",2022,May,26,meter-true,1974.0
1975,Swedish and Finnish delegations are in Turkey to discuss Ankara's concerns about their NATO membership bids. ,2022,May,25,meter-true,1975.0
1976,"By opposing aid to Ukraine, MAGA Republicans reject the Reagan Doctrine",2022,May,24,meter-true,1976.0
1977,European Commission President Ursula von der Leyen accused Russia of “trying to trample the aspirations of an entire nation with tanks.”,2022,May,24,meter-true,1977.0
1978,"The eastern city of Severodonetsk remains under Ukrainian control but is being pummeled by nearby Russian forces that are “destroying the city completely,” a local official said.",2022,May,24,meter-true,1978.0
1979,"In a letter circulated to colleagues and posted on social media, Boris Bondarev, counsellor to the Russian UN mission in Geneva, says he's never been ""so ashamed"" of his country.",2022,May,23,meter-true,1979.0
1980,"Volodymyr Zelensky, speaking the World Economic Forum in Davos, accused Russia of “becoming a state of war criminals.” ",2022,May,23,meter-true,1980.0
1981,Severodonetsk looks set to be the war’s next major battlefield as Russia apparently deploys BMP-T “Terminator” tank support vehicles.,2022,May,22,meter-true,1981.0
1982,The aid package deepens the U.S. commitment to Ukraine amid signs of preparations for a longer conflict.,2022,May,21,meter-true,1982.0
1983,He has highlighted suffering while trying to maintain neutrality.,2022,May,20,meter-true,1983.0
1984,"Meantime, Russia plans to cut off Finland from natural gas and the war crimes trial of Russian solider Vadim Shishimarin will resume next week in Ukraine.",2022,May,20,meter-true,1984.0
1985,"The former U.S. president, who has faced criticism for the 2003 Iraq invasion, made an apparent verbal slip.",2022,May,19,meter-true,1985.0
1986,"The war crimes trial of Russian soldier Vadim Shishimarin, 21, who pleaded guilty to killing a civilian, is set to resume.",2022,May,19,meter-true,1986.0
1987,"Canadian-born Ivanka Siolkowsky is painting daffodils, poppies and sunflowers — with bullet holes at their center — in the Kyiv suburb.",2022,May,18,meter-true,1987.0
1988,Russian leaders are responding to the historic move by Finland and Sweden to apply to join NATO with talk of “retaliatory measures.”,2022,May,18,meter-true,1988.0
1989,"Sweden signed an application to join NATO, and Finland's Parliament voted to apply. Explosions rocked the Lviv region.",2022,May,17,meter-true,1989.0
1990,"Even as Russia secured a victory in Mariupol, it suffered another setback on the global stage, as Sweden ended 200 years of military nonalignment to join Finland in applying for NATO membership.",2022,May,16,meter-true,1990.0
1991,"Swedish Prime Minister Magdalena Andersson said Sunday that Russia’s invasion of Ukraine has undermined “the European security order.""",2022,May,15,meter-true,1991.0
1992,"Ukraine has entered a “new, long phase of the war,” while its troops have pushed Russian forces closer to the northern border.",2022,May,14,meter-true,1992.0
1993,"Swedish Foreign Minister Ann Linde said NATO membership would ""have a conflict-preventing effect in Northern Europe.""",2022,May,13,meter-true,1993.0
1994,Secretary of State Antony Blinken will travel to Germany on Saturday to meet with NATO foreign ministers and top diplomats of Finland and Sweden.,2022,May,13,meter-true,1994.0
1995,Finnish President Sauli Niinisto and Prime Minister Sanna Marin took the first step toward a formal NATO application.,2022,May,12,meter-true,1995.0
1996,Comments by political and military leaders suggest the goal is no longer to drive Russia to the negotiating table but to seek a total defeat of Russian forces. That increases the odds of catastrophe.,2022,May,11,meter-true,1996.0
1997,The Senate is expected to vote in the coming days on an aid package for Ukraine that the House overwhelmingly approved Tuesday night.,2022,May,11,meter-true,1997.0
1998,"From Ukraine’s northeastern city of Kharkiv to its port of Mariupol in the south, Monday will be a day of dread.",2022,May,11,meter-true,1998.0
1999,"About 1,000 fighters are still holed up at Mariupol's Azovstal steel plant. Biden signed a bill expediting military aid.",2022,May,10,meter-true,1999.0
2000,"Russia's president spoke from Moscow's Red Square. Fighting continues in Mariupol, Odessa and Kherson. ",2022,May,9,meter-true,2000.0
2001,"Along the eastern front line, Russian and Ukrainian forces traded blows and territory before Moscow’s planned Victory Day holiday.",2022,May,8,meter-true,2001.0
2002,"First lady Jill Biden, who is in Romania as part of a four-day trip to Eastern Europe, met Ukrainian refugee students and their mothers Saturday at a school in Bucharest. ",2022,May,7,meter-true,2002.0
2003,"The Russian holiday might come with increased missile strikes, local leaders warned. Meantime, the ‘next stage’ of the Mariupol is evacuation underway and Hungary is resisting the E.U.'s oil ban.",2022,May,6,meter-true,2003.0
2004,Russia ramps up attacks on Ukraine's infrastructure as Mariupol officials lose contact with remaining troops at the Azovstal steel plant. ,2022,May,5,meter-true,2004.0
2005,Ukrainian officials say debris is being cleared as Russians plan to turn Mariupol into the center of “celebrations” for Victory Day on May 9.,2022,May,4,meter-true,2005.0
2006,"The evacuations from the Azovstal steel plant come as Moscow reportedly prepares to annex Ukrainian territory, including Donetsk, Luhansk and Kherson.",2022,May,3,meter-true,2006.0
2007,Israel demanded an apology from the Russian government for employing a discredited antisemitic trope.,2022,May,2,meter-true,2007.0
2008,Putin won’t find it easy to mobilize Russia for war.,2022,May,2,meter-true,2008.0
2009,U.S. diplomats will resume limited activities in Lviv. Nancy Pelosi meets the Polish president. Jill Biden to travel to Romania and Slovakia.,2022,May,2,meter-true,2009.0
2010,About 10 percent of the tech workforce is projected to leave Russia before the end of May.,2022,May,1,meter-true,2010.0
